epoch,open,high,low,close
1782864060,58675.82,58675.82,58635.754,58649.401
1782864120,58651.701,58667.217,58611.231,58611.231
1782864180,58611.236,58664.889,58608.025,58661.277
1782864240,58661.179,58700.041,58652.116,58700.041
1782864300,58700.026,58720.262,58693.18,58700.041
1782864360,58700.038,58710.696,58667.245,58667.607
1782864420,58668.358,58697.814,58668.358,58690.074
1782864480,58690.075,58696.973,58687.575,58694.865
1782864540,58694.86,58694.86,58626.646,58632.916
1782864600,58633.523,58687.47,58631.475,58687.47
1782864660,58687.618,58689.784,58638.811,58640.318
1782864720,58640.318,58650.253,58590.594,58590.594
1782864780,58582.905,58635.293,58572.232,58635.293
1782864840,58635.298,58637.066,58615.175,58618.596
1782864900,58618.584,58653.953,58590.452,58590.626
1782864960,58593.555,58609.522,58586.455,58609.468
1782865020,58609.468,58610.825,58579.666,58579.705
1782865080,58573.857,58594.797,58566.995,58567.096
1782865140,58567.103,58570.649,58489.291,58489.291
1782865200,58486.508,58523.102,58486.508,58505.266
1782865260,58505.394,58508.183,58383.678,58386.545
1782865320,58388.313,58396.807,58378.717,58388.663
1782865380,58390.517,58414.785,58378.334,58408.474
1782865440,58420.8,58423.249,58404.517,58408.123
1782865500,58408.12,58410.977,58330.461,58337.612
1782865560,58337.12,58341.452,58277.871,58278.377
1782865620,58278.42,58362.869,58278.42,58346.469
1782865680,58345.604,58370.05,58345.157,58369.968
1782865740,58370.034,58375.573,58360.601,58360.601
1782865800,58360.601,58457.862,58360.601,58457.858
1782865860,58457.92,58549.313,58418.871,58418.871
1782865920,58420.735,58467.003,58396.823,58450.217
1782865980,58450.217,58489.476,58420.24,58484.325
1782866040,58483.794,58483.794,58452.213,58474.993
1782866100,58475.388,58476.72,58406.074,58406.074
1782866160,58406.16,58428.964,58406.16,58425.673
1782866220,58424.579,58448.1,58420.19,58440.593
1782866280,58440.634,58478.797,58414.569,58415.959
1782866340,58416.017,58430.283,58401.816,58407.364
1782866400,58407.335,58420.929,58399.641,58413.968
1782866460,58414.088,58416.784,58395.219,58412.312
1782866520,58411.981,58430.423,58404.885,58413.544
1782866580,58413.544,58443.622,58413.278,58442.66
1782866640,58442.658,58459.123,58439.491,58451.14
1782866700,58455.153,58472.357,58439.272,58469.35
1782866760,58468.985,58494.174,58445.569,58457.279
1782866820,58457.28,58474.982,58453.846,58454.531
1782866880,58454.544,58483.332,58445.464,58480.666
1782866940,58478.864,58489.465,58450.565,58469.533
1782867000,58469.541,58487.808,58468.867,58484.8
1782867060,58484.843,58528.374,58476.993,58528.374
1782867120,58528.513,58583.249,58528.513,58582.765
1782867180,58581.166,58594.34,58542.722,58558.526
1782867240,58563.059,58565.725,58516.075,58516.373
1782867300,58516.382,58560.797,58516.345,58548.489
1782867360,58548.59,58561.443,58545.471,58546.284
1782867420,58546.275,58556.135,58534.071,58550.286
1782867480,58552.18,58555.854,58525.982,58525.984
1782867540,58525.985,58549.249,58521.018,58548.718
1782867600,58548.5,58557.747,58526.915,58526.915
1782867660,58527.423,58532.613,58487.935,58511.883
1782867720,58511.896,58518.433,58445.908,58466.21
1782867780,58466.249,58471.358,58447.497,58448.547
1782867840,58448.547,58448.549,58356.921,58356.921
1782867900,58361.886,58361.886,58254.322,58303.98
1782867960,58308.755,58339.932,58266.76,58266.76
1782868020,58266.828,58295.733,58250.924,58268.498
1782868080,58268.498,58289.584,58211.685,58225.02
1782868140,58229.559,58266.197,58229.559,58266.197
1782868200,58266.759,58273.83,58086.193,58086.193
1782868260,58075.886,58143.01,58070.7,58106.581
1782868320,58107.184,58134.42,57825.459,57841.181
1782868380,57810.151,58086.452,57773.494,58086.452
1782868440,58084.651,58183.414,58022.636,58131.642
1782868500,58137.304,58291.104,58137.304,58220.049
1782868560,58225.275,58225.275,58004.182,58004.894
1782868620,58009.176,58150.176,58005.838,58098.54
1782868680,58102.768,58203.238,58079.157,58176.591
1782868740,58175.303,58267.023,58159.97,58267.023
1782868800,58259.927,58283.157,58199.066,58263.716
1782868860,58271.397,58271.397,58214.139,58240.488
1782868920,58225.214,58375.815,58209.551,58324.681
1782868980,58318.724,58340.465,58250.342,58263.274
1782869040,58265.172,58276.737,58160.227,58195.584
1782869100,58196.959,58259.932,58195.721,58195.721
1782869160,58189.544,58292.703,58175.03,58287.642
1782869220,58287.815,58311.252,58246.822,58311.252
1782869280,58305.906,58371.246,58286.755,58336.239
1782869340,58341.157,58374.306,58309.936,58317.309
1782869400,58318.731,58438.542,58303.381,58413.05
1782869460,58413.405,58462.405,58401.05,58416.243
1782869520,58433.215,58512.786,58433.215,58511.728
1782869580,58497.083,58516.701,58419.004,58438.59
1782869640,58438.457,58464.852,58404.042,58433.572
1782869700,58437.024,58484.672,58429.281,58478.924
1782869760,58480.803,58481.892,58453.7,58465.797
1782869820,58469.013,58485.448,58450.755,58485.448
1782869880,58489.014,58642.646,58483.025,58623.432
1782869940,58629.078,58897.604,58626.922,58748.245
1782870000,58732.631,58808.41,58700.872,58808.41
1782870060,58810.376,58974.9,58793.421,58801.254
1782870120,58798.698,58811.071,58752.306,58811.071
1782870180,58795.122,58920.751,58783.506,58905.753
1782870240,58916.572,58935.098,58850.175,58873.703
1782870300,58872.378,58978.625,58833.971,58889.151
1782870360,58880.443,58918.591,58770.872,58785.037
1782870420,58790.219,58805.109,58756.955,58786.956
1782870480,58786.948,58812.541,58752.804,58756.498
1782870540,58764.936,58765.687,58732.92,58765.435
1782870600,58772.322,58772.322,58703.785,58704.445
1782870660,58704.441,58748.749,58690.402,58744.373
1782870720,58748.363,58775.183,58721.451,58772.512
1782870780,58773.258,58799.921,58763.601,58794.801
1782870840,58795.124,58812.02,58784.084,58811.42
1782870900,58811.545,58863.991,58799.272,58835.076
1782870960,58835.349,58851.411,58784.426,58800.444
1782871020,58803.749,58807.11,58763.212,58763.212
1782871080,58763.212,58763.212,58744.789,58748.545
1782871140,58748.48,58773.766,58740.466,58746.793
1782871200,58741.0,58772.61,58741.0,58772.61
1782871260,58772.037,58780.666,58733.354,58733.354
1782871320,58735.386,58808.791,58725.05,58807.903
1782871380,58805.874,58810.526,58764.388,58800.47
1782871440,58798.956,58812.531,58749.278,58749.45
1782871500,58749.451,58749.451,58677.12,58677.12
1782871560,58673.943,58699.557,58641.727,58671.133
1782871620,58666.671,58681.815,58652.652,58679.978
1782871680,58680.04,58684.868,58655.713,58660.846
1782871740,58660.847,58680.461,58651.557,58679.628
1782871800,58679.754,58734.814,58678.094,58720.944
1782871860,58716.913,58734.822,58711.536,58715.769
1782871920,58716.059,58794.595,58716.059,58793.936
1782871980,58794.909,58836.35,58781.398,58807.605
1782872040,58807.474,58810.249,58757.558,58772.641
1782872100,58774.914,58818.479,58755.607,58818.479
1782872160,58818.444,58864.624,58803.89,58851.629
1782872220,58851.361,58851.361,58807.062,58808.999
1782872280,58814.556,58836.302,58801.315,58801.531
1782872340,58801.53,58820.674,58800.05,58817.873
1782872400,58817.635,58834.045,58800.098,58824.994
1782872460,58827.84,58926.103,58824.962,58907.814
1782872520,58907.804,58954.297,58905.111,58934.311
1782872580,58934.399,58997.909,58908.594,58972.12
1782872640,58971.893,58976.76,58900.35,58900.521
1782872700,58900.984,58905.364,58873.973,58874.906
1782872760,58874.913,58935.623,58870.05,58934.856
1782872820,58935.044,58955.035,58910.231,58939.424
1782872880,58939.924,58976.33,58929.156,58961.035
1782872940,58960.981,58963.755,58912.597,58920.779
1782873000,58922.051,58965.29,58922.051,58961.754
1782873060,58961.971,59045.06,58922.919,58922.919
1782873120,58922.914,58983.74,58887.499,58936.406
1782873180,58936.422,58957.014,58903.414,58956.938
1782873240,58956.929,58984.178,58941.498,58979.258
1782873300,58979.02,59026.671,58970.223,59006.313
1782873360,59018.529,59020.156,58990.816,59004.074
1782873420,59004.912,59017.514,58976.956,59003.579
1782873480,59000.721,59054.95,58981.525,59039.161
1782873540,59043.438,59054.95,59012.055,59012.211
1782873600,59012.166,59012.318,58973.604,58975.042
1782873660,58975.105,59052.84,58975.105,59050.137
1782873720,59050.138,59071.889,59048.82,59052.877
1782873780,59056.914,59138.79,59056.116,59096.649
1782873840,59095.091,59112.626,59092.408,59106.562
1782873900,59114.46,59151.773,59099.05,59148.658
1782873960,59146.531,59147.602,59038.613,59038.613
1782874020,59038.113,59049.823,59001.238,59015.789
1782874080,59015.746,59096.64,58979.06,59060.758
1782874140,59060.735,59061.162,59037.115,59048.987
1782874200,59048.991,59068.121,59041.203,59068.121
1782874260,59068.11,59088.739,59032.947,59032.947
1782874320,59032.915,59033.41,58991.699,59014.305
1782874380,59013.907,59049.193,59012.091,59042.539
1782874440,59039.65,59097.355,59032.049,59097.355
1782874500,59097.359,59100.603,59070.971,59088.828
1782874560,59088.276,59098.08,59069.823,59097.257
1782874620,59097.298,59099.837,59077.044,59077.05
1782874680,59076.328,59076.462,59063.295,59067.59
1782874740,59068.931,59069.933,59059.304,59064.463
1782874800,59064.04,59068.018,59019.866,59039.741
